,YEAR,TITLE,Count,Total_Count,Percent_Total
29,2020,Teacher,5106,21785,23.43814551
28,2020,Police Officer,1355,,6.219876062
27,2020,Police Detective,298,,1.367913702
26,2020,Fire Lieutenant,158,,0.725269681
25,2020,Fire Fighter,790,,3.626348405
24,2019,Teacher,5255,23232,22.61966253
23,2019,Police Officer,1346,,5.793732782
22,2019,Police Detective,309,,1.330061983
21,2019,Fire Lieutenant,158,,0.680096419
20,2019,Fire Fighter,820,,3.529614325
19,2018,Teacher,5541,22166,24.99774429
18,2018,Police Officer,1334,,6.018226112
17,2018,Police Detective,296,,1.335378508
16,2018,Fire Lieutenant,150,,0.676712082
15,2018,Fire Fighter,792,,3.573039791
14,2017,Teacher,5437,21964,24.75414314
13,2017,Police Officer,1331,,6.059916227
12,2017,Police Detective,298,,1.356765616
11,2017,Fire Lieutenant,149,,0.678382808
10,2017,Fire Fighter,795,,3.619559279
9,2016,Teacher,5363,21964,24.41722819
8,2016,Police Officer,1279,,5.823165179
7,2016,Police Detective,330,,1.502458569
6,2016,Fire Lieutenant,146,,0.664724094
5,2016,Fire Fighter,837,,3.810781278
4,2015,Teacher,5375,21815,24.63900986
3,2015,Police Officer,1273,,5.835434334
2,2015,Police Detective,286,,1.311024524
1,2015,Fire Lieutenant,152,,0.696768279
0,2015,Fire Fighter,815,,3.735961494
