,YEAR,TITLE,Count,Total,Percent_Total
29,2020,Teacher,5106,2796,54.75910693
28,2020,Police Officer,1355,1119,82.58302583
27,2020,Police Detective,298,286,95.97315436
26,2020,Fire Lieutenant,158,158,100
25,2020,Fire Fighter,790,726,91.89873418
24,2019,Teacher,5255,2586,49.21027593
23,2019,Police Officer,1346,1086,80.68350669
22,2019,Police Detective,309,297,96.11650485
21,2019,Fire Lieutenant,158,151,95.56962025
20,2019,Fire Fighter,820,728,88.7804878
19,2018,Teacher,5541,2521,45.49720267
18,2018,Police Officer,1334,1102,82.60869565
17,2018,Police Detective,296,286,96.62162162
16,2018,Fire Lieutenant,150,146,97.33333333
15,2018,Fire Fighter,792,671,84.72222222
14,2017,Teacher,5437,1378,25.3448593
13,2017,Police Officer,1331,1062,79.78963186
12,2017,Police Detective,298,287,96.30872483
11,2017,Fire Lieutenant,149,149,100
10,2017,Fire Fighter,795,666,83.77358491
9,2016,Teacher,5363,1684,31.40033563
8,2016,Police Officer,1279,984,76.93510555
7,2016,Police Detective,330,288,87.27272727
6,2016,Fire Lieutenant,146,144,98.63013699
5,2016,Fire Fighter,837,628,75.02986858
4,2015,Teacher,5375,1805,33.58139535
3,2015,Police Officer,1273,986,77.45483111
2,2015,Police Detective,286,251,87.76223776
1,2015,Fire Lieutenant,152,150,98.68421053
0,2015,Fire Fighter,815,628,77.05521472
